element,line,xray_line,energy_kev,weight
Ta,La,Ta_La,8.146,1.0
Ta,Lb1,Ta_Lb1,9.3429,0.46248
Ta,Lb2,Ta_Lb2,9.6518,0.2076
Ta,Lb3,Ta_Lb3,9.4875,0.1333
Ta,Lb4,Ta_Lb4,9.2128,0.10449
Ta,Lg1,Ta_Lg1,10.8948,0.09071
Ta,Lg3,Ta_Lg3,11.277,0.0354
Ta,Ll,Ta_Ll,7.1731,0.0515
Ta,Ln,Ta_Ln,8.4281,0.0158
Ta,M2N4,Ta_M2N4,2.2274,0.01
Ta,M3O4,Ta_M3O4,2.1883,0.0001
Ta,M3O5,Ta_M3O5,2.194,0.01
Ta,Ma,Ta_Ma,1.7101,1.0
Ta,Mb,Ta_Mb,1.7682,0.59443
Ta,Mg,Ta_Mg,1.9647,0.08505
Ta,Mz,Ta_Mz,1.3306,0.01344
Tb,Ka,Tb_Ka,44.4817,1.0
Tb,Kb,Tb_Kb,50.3844,0.15
Tb,La,Tb_La,6.2728,1.0
Tb,Lb1,Tb_Lb1,6.9766,0.44104
Tb,Lb2,Tb_Lb2,7.367,0.19929
Tb,Lb3,Tb_Lb3,7.0967,0.124
Tb,Lb4,Tb_Lb4,6.9403,0.0874
Tb,Lg1,Tb_Lg1,8.1046,0.08168
Tb,Lg3,Tb_Lg3,8.423,0.0315
Tb,Ll,Tb_Ll,5.5465,0.0465
Tb,Ln,Tb_Ln,6.2841,0.01479
Tb,M2N4,Tb_M2N4,1.6207,0.014
Tb,Ma,Tb_Ma,1.2326,1.0
Tb,Mb,Tb_Mb,1.2656,0.78
Tb,Mg,Tb_Mg,1.4643,0.2615
Tb,Mz,Tb_Mz,0.9562,0.06
Tc,Ka,Tc_Ka,18.3671,1.0
Tc,Kb,Tc_Kb,20.619,0.15
Tc,La,Tc_La,2.424,1.0
Tc,Lb1,Tc_Lb1,2.5368,0.32951
Tc,Lb2,Tc_Lb2,2.67017,0.05839
Tc,Lb3,Tc_Lb3,2.6175,0.0644
Tc,Lg1,Tc_Lg1,2.78619,0.01744
Tc,Lg3,Tc_Lg3,3.0036,0.0111
Tc,Ll,Tc_Ll,2.1293,0.0412
Tc,Ln,Tc_Ln,2.2456,0.0127
Te,Ka,Te_Ka,27.4724,1.0
Te,Kb,Te_Kb,30.9951,0.15
Te,La,Te_La,3.7693,1.0
Te,Lb1,Te_Lb1,4.0295,0.43183
Te,Lb2,Te_Lb2,4.3016,0.16269
Te,Lb3,Te_Lb3,4.1205,0.1458
Te,Lb4,Te_Lb4,4.0695,0.0906
Te,Lg1,Te_Lg1,4.5722,0.06375
Te,Lg3,Te_Lg3,4.829,0.0317
Te,Ll,Te_Ll,3.3354,0.0419
Te,Ln,Te_Ln,3.606,0.0154
Th,Ka,Th_Ka,93.3507,1.0
Th,Kb,Th_Kb,105.6049,0.15
Th,La,Th_La,12.9683,1.0
Th,Lb1,Th_Lb1,16.2024,0.4
Th,Lb2,Th_Lb2,15.6239,0.236
Th,Lb3,Th_Lb3,16.426,0.06
Th,Lb4,Th_Lb4,15.6417,0.05
Th,Lg1,Th_Lg1,18.9791,0.08
Th,Lg3,Th_Lg3,19.5048,0.017
Th,Ll,Th_Ll,11.118,0.06709
Th,Ln,Th_Ln,14.5109,0.0134
Th,M2N4,Th_M2N4,4.1163,0.00674
Th,M3O4,Th_M3O4,3.9518,0.01
Th,M3O5,Th_M3O5,3.9582,0.01
Th,Ma,Th_Ma,2.9968,1.0
Th,Mb,Th_Mb,3.1464,0.64124
Th,Mg,Th_Mg,3.3697,0.33505
Th,Mz,Th_Mz,2.3647,0.03512
Ti,Ka,Ti_Ka,4.5109,1.0
Ti,Kb,Ti_Kb,4.9318,0.11673
Ti,La,Ti_La,0.4555,0.694
Ti,Lb3,Ti_Lb3,0.5291,0.166
Ti,Ll,Ti_Ll,0.3952,1.0
Ti,Ln,Ti_Ln,0.4012,0.491
Tl,Ka,Tl_Ka,72.8729,1.0
Tl,Kb,Tl_Kb,82.5738,0.15
Tl,La,Tl_La,10.2682,1.0
Tl,Lb1,Tl_Lb1,12.2128,0.39112
Tl,Lb2,Tl_Lb2,12.2713,0.22289
Tl,Lb3,Tl_Lb3,12.3901,0.0607
Tl,Lb4,Tl_Lb4,11.931,0.05419
Tl,Lg1,Tl_Lg1,14.2913,0.08304
Tl,Lg3,Tl_Lg3,14.7377,0.0175
Tl,Ll,Tl_Ll,8.9534,0.0578
Tl,Ln,Tl_Ln,10.9938,0.0134
Tl,M2N4,Tl_M2N4,3.0091,0.00863
Tl,M3O4,Tl_M3O4,2.9413,0.005
Tl,M3O5,Tl_M3O5,2.9435,0.01
Tl,Ma,Tl_Ma,2.2708,1.0
Tl,Mb,Tl_Mb,2.3623,0.64124
Tl,Mg,Tl_Mg,2.5704,0.21845
Tl,Mz,Tl_Mz,1.7803,0.0058
Tm,Ka,Tm_Ka,50.7416,1.0
Tm,Kb,Tm_Kb,57.5051,0.15
Tm,La,Tm_La,7.1803,1.0
Tm,Lb1,Tm_Lb1,8.1023,0.45831
Tm,Lb2,Tm_Lb2,8.4684,0.20059
Tm,Lb3,Tm_Lb3,8.2312,0.1273
Tm,Lb4,Tm_Lb4,8.0259,0.09449
Tm,Lg1,Tm_Lg1,9.4373,0.08615
Tm,Lg3,Tm_Lg3,9.7791,0.0329
Tm,Ll,Tm_Ll,6.3412,0.04889
Tm,Ln,Tm_Ln,7.3101,0.0156
Tm,M2N4,Tm_M2N4,1.9102,0.01
Tm,Ma,Tm_Ma,1.4624,1.0
Tm,Mb,Tm_Mb,1.5093,0.59443
Tm,Mg,Tm_Mg,1.7049,0.08505
Tm,Mz,Tm_Mz,1.1311,0.06
U,Ka,U_Ka,98.4397,1.0
U,Kb,U_Kb,111.3026,0.15
U,La,U_La,13.6146,1.0
U,Lb1,U_Lb1,17.22,0.4
U,Lb2,U_Lb2,16.4286,0.236
U,Lb3,U_Lb3,17.454,0.06
U,Lb4,U_Lb4,16.5752,0.04
U,Lg1,U_Lg1,20.1672,0.08
U,Lg3,U_Lg3,20.7125,0.017
U,Ll,U_Ll,11.6183,0.069
U,Ln,U_Ln,15.3996,0.01199
U,M2N4,U_M2N4,4.4018,0.00674
U,M3O4,U_M3O4,4.1984,0.01
U,M3O5,U_M3O5,4.2071,0.01
U,Ma,U_Ma,3.1708,1.0
U,Mb,U_Mb,3.3363,0.6086
U,Mg,U_Mg,3.5657,0.33505
U,Mz,U_Mz,2.5068,0.03512
V,Ka,V_Ka,4.9522,1.0
V,Kb,V_Kb,5.4273,0.1225
V,La,V_La,0.5129,1.0
V,Lb3,V_Lb3,0.5904,0.0154
V,Ll,V_Ll,0.4464,0.5745
V,Ln,V_Ln,0.454,0.2805
W,Ka,W_Ka,59.3182,1.0
W,Kb,W_Kb,67.244,0.15
W,La,W_La,8.3976,1.0
W,Lb1,W_Lb1,9.6724,0.3679
W,Lb2,W_Lb2,9.9614,0.21385
W,Lb3,W_Lb3,9.8188,0.07077
W,Lb4,W_Lb4,9.5249,0.05649
W,Lg1,W_Lg1,11.2852,0.05658
W,Lg3,W_Lg3,11.6745,0.0362
W,Ll,W_Ll,7.3872,0.04169
W,Ln,W_Ln,8.7244,0.01155
W,M2N4,W_M2N4,2.3161,0.01
W,M3O4,W_M3O4,2.2749,0.001
W,M3O5,W_M3O5,2.281,0.01
W,Ma,W_Ma,1.7756,1.0
W,Mb,W_Mb,1.8351,0.59443
W,Mg,W_Mg,2.0356,0.08505
W,Mz,W_Mz,1.3839,0.01344
Xe,Ka,Xe_Ka,29.7792,1.0
Xe,Kb,Xe_Kb,33.6244,0.15
Xe,La,Xe_La,4.1099,1.0
Xe,Lb1,Xe_Lb1,4.4183,0.42248
Xe,Lb2,Xe_Lb2,4.7182,0.17699
Xe,Lb3,Xe_Lb3,4.5158,0.14119
Xe,Lb4,Xe_Lb4,4.4538,0.08929
Xe,Lg1,Xe_Lg1,5.0397,0.06848
Xe,Lg3,Xe_Lg3,5.3061,0.0323
Xe,Ll,Xe_Ll,3.6376,0.0424
Xe,Ln,Xe_Ln,3.9591,0.015
Y,Ka,Y_Ka,14.9584,1.0
Y,Kb,Y_Kb,16.7381,0.15
Y,La,Y_La,1.9226,1.0
Y,Lb1,Y_Lb1,1.9959,0.39127
Y,Lb2,Y_Lb2,2.08,0.00739
Y,Lb3,Y_Lb3,2.0722,0.05059
Y,Lg1,Y_Lg1,2.1555,0.00264
Y,Lg3,Y_Lg3,2.3469,0.0075
Y,Ll,Y_Ll,1.6864,0.0428
Y,Ln,Y_Ln,1.7619,0.0162
Yb,Ka,Yb_Ka,52.3887,1.0
Yb,Kb,Yb_Kb,59.3825,0.15
Yb,La,Yb_La,7.4158,1.0
Yb,Lb1,Yb_Lb1,8.4019,0.46224
Yb,Lb2,Yb_Lb2,8.7587,0.2017
Yb,Lb3,Yb_Lb3,8.5366,0.12789
Yb,Lb4,Yb_Lb4,8.3134,0.09589
Yb,Lg1,Yb_Lg1,9.7801,0.08728
Yb,Lg3,Yb_Lg3,10.1429,0.0331
Yb,Ll,Yb_Ll,6.5455,0.0494
Yb,Ln,Yb_Ln,7.5801,0.0157
Yb,M2N4,Yb_M2N4,1.9749,0.01
Yb,Ma,Yb_Ma,1.5215,1.0
Yb,Mb,Yb_Mb,1.57,0.59443
Yb,Mg,Yb_Mg,1.7649,0.08505
Yb,Mz,Yb_Mz,1.1843,0.06
Zn,Ka,Zn_Ka,8.6389,1.0
Zn,Kb,Zn_Kb,9.572,0.12605
Zn,La,Zn_La,1.0116,1.0
Zn,Lb1,Zn_Lb1,1.0347,0.1679
Zn,Lb3,Zn_Lb3,1.107,0.002
Zn,Ll,Zn_Ll,0.8838,0.0603
Zn,Ln,Zn_Ln,0.9069,0.0368
Zr,Ka,Zr_Ka,15.7753,1.0
Zr,Kb,Zr_Kb,17.6671,0.15
Zr,La,Zr_La,2.0423,1.0
Zr,Lb1,Zr_Lb1,2.1243,0.37912
Zr,Lb2,Zr_Lb2,2.2223,0.0177
Zr,Lb3,Zr_Lb3,2.2011,0.05219
Zr,Lg1,Zr_Lg1,2.30268,0.006
Zr,Lg3,Zr_Lg3,2.5029,0.0082
Zr,Ll,Zr_Ll,1.792,0.04209
Zr,Ln,Zr_Ln,1.8764,0.0153
